specie  value  fit  A  B  C  D  E
Al2O3[s]  dg  poly  1.29765E+06  -3.09312E+06  7.86027E+02  -1.36327E-02  8.59619E-07
Al2O3[s]  dg  Stock  3.68841E+05  -7.71422E+00  -4.34325E+01  7.48496E-03  -7.56361E-07
Al2O3[s]  dg  S&H  0.00000E+00  -7.32976E+05  1.84782E+02  -2.57313E-03  0.00000E+00
Al2O3[l]  pvap  Yaws  14.1611  -2.8238E+04  -7.3843E-01  -3.7413E-07  2.2086E-11
Al2O3[l]  dg  poly  9.69640E+06  -3.07785E+06  8.23186E+02  -3.65211E-02  2.33258E-06
Al2O3[l]  dg  Stock  3.64245E+05  -1.63792E+00  -8.13159E+01  2.51157E-03  3.17825E-08
TiO2[s]  pvap  poly  -7.65465E+04  3.72148E+01  1.76288E-03  -1.35859E-06  1.66681E-10
TiO2[s]  pvap  Woitke?  3.47633E+01  -7.45446E+04  -2.63420E+00  0  0
TiO2[s]  dg  poly  1.07603E+07  -1.98132E+06  5.41884E+02  -3.90643E-02  3.38041E-06
TiO2[s]  dg  Stock  2.29669E+05  -3.19283E+00  -3.41057E+01  2.57529E-03  -2.06316E-08
TiO2[s]  dg  S&H  1.65647E+04  -4.56962E+05  1.09445E+02  -1.16984E-03  0.00000E+00
TiO2[l]  pvap  poly  -7.07819E+04  3.68021E+01  -1.29214E-03  -6.87776E-08  1.89408E-11
TiO2[l]  pvap  Woitke?  3.14280E+01 -6.59483E+04 -1.49581E+01  0  0
TiO2[l]  dg  poly  3.31189E+06  -1.88378E+06  4.59487E+02  -1.56016E-02  1.17332E-06
TiO2[l]  dg  Stock  2.24318E+05  -1.24225E+00  -4.47570E+01  1.75677E-03  -8.78912E-08
SiO2[s]  pvap  poly  -7.28086E+04  3.65312E+01  -2.56109E-04  -5.24980E-07  1.53343E-10
SiO2[s]  pvap  Woitke?  3.52781E+01  -7.23520E+04  -4.28057E-01  0  0
SiO2[s]  dg  poly  8.82926E+05  -1.86639E+06  4.64816E+02  -7.11989E-03  7.01040E-07
SiO2[s]  dg  Stock  2.22462E+05  -4.43295E+00  -2.59394E+01  3.56659E-03  -2.45536E-07
SiO2[s]  dg  S&H  0.00000E+00  -4.44364E+05 1.08531E+02  -6.59213E-04  0.00000E+00
SiO2[l]  pvap  Yaws  -378.5210  6.5473E+03  1.3150E+02  -3.5774E-02  3.4220E-06
SiO2[l]  pvap  poly  -7.18591E+04  3.59570E+01  -6.57765E-04  -3.78705E-08  8.78339E-12
SiO2[l]  pvap  Woitke?  3.36559E+01  -7.08199E+04  -1.11185E+00  0  0
SiO2[l]  dg  poly  1.78605E+06  -1.86359E+06  4.65018E+02  -8.00259E-03  4.71304E-07
SiO2[l]  dg  Stock  2.21503E+05  -4.22258E+00  -2.63502E+01  3.18447E-03  -2.30892E-07
Fe[s]  pvap  poly  -4.99622E+04  3.21370E+01  6.68363E-04 -1.13811E-06  2.57277E-10
Fe[s]  pvap  Woitke?  3.11428E+01  -4.94771E+04  -7.40907E-01  0  0
Fe[s]  dg  poly  5.02534E+05  -4.20959E+05  1.70068E+02  -1.65310E-02  2.10361E-06
Fe[s]  dg  Stock  4.97717E+04 -1.41563E+00 -1.04403E+01  2.55631E-03 -2.46615E-07
Fe[s]  dg  S&H  0.00000E+00  -9.76386E+04  3.55605E+01  -1.12348E-03  0.00000E+00
Fe[l]  pvap  Yaws  11.5549  -1.9538E+04  -6.2549E-01  -2.7182E-09  1.9086E-13
Fe[l]  pvap  poly  -4.87741E+04  3.26355E+01 -1.38271E-03  1.09701E-07  0.00000E+00
Fe[l]  pvap Woitke?  2.95045E+01  -4.76594E+04  -1.47036E+00  0  0
Fe[l]  dg  poly  -2.10749E+04  -4.04879E+05  1.55545E+02  -1.10965E-02  8.59559E-07
Fe[l]  dg  Stock  4.82752E+04 -1.36166E+00 -9.76140E+00  2.32702E-03 -1.99694E-07
H2O[l]  pvap  Yaws  29.8605  -3.1522E+03  -7.3037E+00  2.4247E-09  1.8090E-06
H2O[l]  pvap  poly  2.58821E+04  -3.24235E+02  1.47113E+00  -2.68167E-03  1.79420E-06
H2O[l]  pvap  Woitke?  2.68775E+01 -4.92245E+03  7.25739E-45  0  0
H2O[l]  dg  poly  2.81213E+07  -1.28906E+06  1.64726E+03  -2.41110E+00  1.60401E-03
H2O[l]  dg  Stock  1.16538E+05  -1.18148E+00  -3.12083E+01  -2.10616E-04  3.09203E-06
FeS[s]  pvap  poly  -5.69922E+04  3.86753E+01 -4.68301E-03  1.03559E-06 -8.42872E-11
FeS[s]  pvap  Woitke?  3.27406E+01 -5.50270E+04 -2.69983E+00  0  0
FeS[s]  dg  poly  -9.91781E+05  -7.85288E+05  2.73781E+02  -4.55939E-03  -1.28752E-06
FeS[s]  dg  Stock  9.53735E+04  -1.34387E+00  -2.79581E+01  5.13999E-03  -9.73380E-07
